
804, 3756	355
805, 3836	355
806, 3948	355
807, 4060	355
808, 77	355
809, 173	403
810, 269	419
811, 365	435
812, 461	451
813, 557	467
814, 653	483
815, 765	515
816, 957	563
817, 1117	627
818, 1181	643
819, 1325	707
820, 1389	723
821, 1597	787
822, 1741	851
823, 1821	867
824, 1949	931
825, 2093	947
826, 2269	963
827, 2445	979
828, 2621	995
829, 2813	1027
830, 2925	1043
831, 3037	1059
832, 3149	1075
833, 3261	1091
834, 3373	1107
835, 3485	1123
836, 3613	1139
837, 3741	1155
838, 3869	1171
839, 3981	1235
840, 30	1251
841, 206	1267
842, 382	1283
843, 558	1299
844, 750	1331
845, 862	1347
846, 974	1363
847, 1086	1379
848, 1198	1395
849, 1310	1411
850, 1422	1427
851, 1550	1443
852, 1678	1459
853, 1806	1475
854, 2014	1539
855, 2094	1539
856, 2174	1539
857, 2318	1539
858, 2446	1539
859, 2558	1539
860, 2654	1539
861, 2766	1539
862, 2974	1603
863, 3086	1603
864, 3182	1603
865, 3278	1603
866, 3390	1603
867, 3534	1603
868, 3678	1603
869, 3838	1651
870, 3918	1667
871, 3998	1683
872, 4078	1699
873, 79	1715
874, 159	1731
875, 239	1747
876, 319	1763
877, 399	1779
878, 479	1795
879, 559	1811
880, 639	1827
881, 799	1875
882, 879	1891
883, 959	1907
884, 1039	1923
885, 1119	1939
886, 1199	1955
887, 1279	1971
888, 1503	1987
889, 1583	2003
890, 1679	2019
891, 1775	2035
892, 1887	2035
893, 2111	2051
894, 2191	2067
895, 2351	2115
896, 2431	2131
897, 2511	2147
898, 2591	2163
899, 2671	2179
900, 2751	2195
901, 2831	2211
902, 2927	2227
903, 3007	2243
904, 3087	2259
905, 3183	2275
906, 3279	2291
907, 3359	2307
908, 3439	2371
909, 3599	2387
910, 3743	2403
911, 3887	2419
912, 4047	2435
913, 112	2451
914, 256	2467
915, 416	2483
916, 576	2499
917, 736	2515
918, 896	2531
919, 1072	2547
920, 1216	2563
921, 1360	2579
922, 1504	2595
923, 1648	2611
924, 1808	2627
925, 1984	2643
926, 2160	2659
927, 2336	2675
928, 2512	2691
929, 2592	2755
930, 2752	2771
931, 2896	2787
932, 3040	2803
933, 3200	2819
934, 3360	2835
935, 3504	2851
936, 3664	2867
937, 3824	2883
938, 3984	2899
939, 49	2915
940, 225	2931
941, 369	2947
942, 513	2963
943, 657	2979
944, 801	2995
945, 961	3011
946, 1137	3027
947, 1313	3043
948, 1489	3059
949, 1665	3075
950, 1825	3091
951, 1905	3155
952, 2065	3171
953, 2209	3187
954, 2353	3203
955, 2513	3219
956, 2673	3235
957, 2817	3251
958, 2977	3267
959, 3137	3283
960, 3297	3299
961, 3457	3315
962, 3633	3331
963, 3777	3347
964, 3921	3363
965, 4065	3379
966, 114	3395
967, 274	3411
968, 450	3427
969, 626	3443
970, 802	3459
971, 978	3475
972, 1154	3491
973, 1330	3507
974, 1602	3571
975, 1714	3571
976, 1826	3571
977, 1938	3571
978, 2050	3571
979, 2162	3571
980, 2274	3571
981, 2386	3571
982, 2498	3571
983, 2754	3635
984, 2802	3635
985, 2850	3635
986, 2898	3635
987, 2946	3635
988, 2994	3635
989, 3042	3635
990, 3090	3635
991, 3138	3635
992, 3394	3699
993, 3506	3699
994, 3554	3699
995, 3602	3699
996, 3650	3699
997, 3698	3699
998, 3746	3699
999, 3794	3699
1000, 3906	3699
1001, 83	3763
1002, 131	3763
1003, 179	3763
1004, 227	3763
1005, 275	3763
1006, 323	3763
1007, 371	3763
1008, 643	3827
1009, 691	3827
1010, 739	3827
1011, 787	3827
1012, 835	3827
1013, 883	3827
1014, 931	3827
1015, 979	3827
1016, 1027	3827
1017, 1139	3891
1018, 1267	3907
1019, 1427	3923
1020, 1587	3939
1021, 1747	3955
1022, 1923	3987
1023, 2019	4003
1024, 2115	4019
1025, 2211	4035
1026, 2307	4051
1027, 2403	4067
1028, 2499	4083
1029, 2611	4
1030, 2723	20
1031, 2835	36
1032, 3027	100
1033, 3107	116
1034, 3187	132
1035, 3267	148
1036, 3411	164
1037, 3491	180
1038, 3683	244
1039, 3763	260
1040, 3843	276
1041, 3923	292
1042, 4067	308
1043, 52	324
1044, 116	388
1045, 260	388
1046, 388	388
1047, 452	388
1048, 708	452
1049, 756	452
1050, 804	452
1051, 852	452
1052, 900	452
1053, 948	452
1054, 996	452
1055, 1044	452
1056, 1092	452
1057, 1348	516
1058, 1396	516
1059, 1444	516
1060, 1492	516
1061, 1540	516
1062, 1588	516
1063, 1636	516
1064, 1684	516
1065, 1732	516
1066, 1988	580
1067, 2100	580
1068, 2212	580
1069, 2324	580
1070, 2436	580
1071, 2548	580
1072, 2660	580
1073, 2772	580
1074, 2884	580
