
329, 23	db,e0	Gen_VolEnvHold
330, 25	c0,3	Gen_VolEnvSustain
331, 33	f8,ff	Gen_CoarseTune
332, 34	28,0	Gen_FineTune
333, 29	9b,0	Gen_Instrument
334, 2b	4a,4a	Gen_KeyRange
335,  8	db,e0	Gen_FilterFc
336,  9	b4,0	Gen_FilterQ
337,  b	58,15	Gen_ModEnv2FilterFc
338, 11	88,ff	Gen_Pan
339, 19	db,e0	Gen_ModEnvDelay
340, 1a	db,e0	Gen_ModEnvAttack
341, 1b	db,e0	Gen_ModEnvHold
342, 1d	e8,3	Gen_ModEnvSustain
343, 21	db,e0	Gen_VolEnvDelay
344, 22	db,e0	Gen_VolEnvAttack
345, 23	db,e0	Gen_VolEnvHold
346, 25	c0,3	Gen_VolEnvSustain
347, 33	f6,ff	Gen_CoarseTune
348, 34	28,0	Gen_FineTune
349, 29	9b,0	Gen_Instrument
350, 2b	4b,4b	Gen_KeyRange
351, 11	c,fe	Gen_Pan
352, 30	c8,0	Gen_Attenuation
353, 33	ff,ff	Gen_CoarseTune
354, 29	b0,0	Gen_Instrument
355, 2b	4b,4b	Gen_KeyRange
356, 11	f4,1	Gen_Pan
357, 30	c8,0	Gen_Attenuation
358, 33	ff,ff	Gen_CoarseTune
359, 34	ce,ff	Gen_FineTune
360, 29	b0,0	Gen_Instrument
361, 2b	4c,4c	Gen_KeyRange
362, 33	f8,ff	Gen_CoarseTune
363, 29	cd,0	Gen_Instrument
364, 2b	4d,4d	Gen_KeyRange
365, 21	db,e0	Gen_VolEnvDelay
366, 22	e2,a	Gen_VolEnvAttack
367, 26	6e,7	Gen_VolEnvRelease
368, 30	96,0	Gen_Attenuation
369, 33	fd,ff	Gen_CoarseTune
370, 29	c8,0	Gen_Instrument
371, 2b	4e,4e	Gen_KeyRange
372,  b	20,1c	Gen_ModEnv2FilterFc
373, 11	c,fe	Gen_Pan
374, 16	8c,fc	Gen_ModLFOFreq
375, 30	5e,1	Gen_Attenuation
376, 33	fa,ff	Gen_CoarseTune
377, 29	9f,0	Gen_Instrument
